2.62E-01	μm	0.2035	μm	-3.14E-01	nm
5.25E-01	μm	0.2035	μm	-4.96E-01	nm
7.87E-01	μm	0.2035	μm	2.57E+00	nm
1.05E+00	μm	0.2035	μm	-1.02E+00	nm
1.31E+00	μm	0.2035	μm	-1.23E-01	nm
1.57E+00	μm	0.2035	μm	-7.70E-01	nm
1.84E+00	μm	0.2035	μm	8.97E-01	nm
2.10E+00	μm	0.2035	μm	1.79E+00	nm
2.36E+00	μm	0.2035	μm	-4.07E-01	nm
2.62E+00	μm	0.2035	μm	-7.53E-01	nm
2.89E+00	μm	0.2035	μm	-6.33E-01	nm
3.15E+00	μm	0.2035	μm	-5.17E-01	nm
3.41E+00	μm	0.2035	μm	3.69E-01	nm
3.67E+00	μm	0.2035	μm	-4.42E-01	nm
3.94E+00	μm	0.2035	μm	-3.30E-01	nm
4.20E+00	μm	0.2035	μm	-2.17E-01	nm
4.46E+00	μm	0.2035	μm	-2.59E-01	nm
4.72E+00	μm	0.2035	μm	-1.50E-01	nm
4.99E+00	μm	0.2035	μm	2.64E-01	nm
5.25E+00	μm	0.2035	μm	6.18E-02	nm
5.51E+00	μm	0.2035	μm	1.10E+00	nm
5.77E+00	μm	0.2035	μm	-1.82E-01	nm
6.04E+00	μm	0.2035	μm	-8.00E-02	nm
6.30E+00	μm	0.2035	μm	2.21E-02	nm
6.56E+00	μm	0.2035	μm	2.78E-01	nm
6.82E+00	μm	0.2035	μm	1.00E+00	nm
7.09E+00	μm	0.2035	μm	2.65E+00	nm
7.35E+00	μm	0.2035	μm	7.38E-01	nm
7.61E+00	μm	0.2035	μm	1.76E+00	nm
7.87E+00	μm	0.2035	μm	2.64E+00	nm
8.13E+00	μm	0.2035	μm	1.65E+00	nm
8.40E+00	μm	0.2035	μm	2.21E+00	nm
8.66E+00	μm	0.2035	μm	-2.79E+00	nm
8.92E+00	μm	0.2035	μm	-9.75E+01	nm
9.18E+00	μm	0.2035	μm	-1.00E+02	nm
9.45E+00	μm	0.2035	μm	-1.01E+02	nm
9.71E+00	μm	0.2035	μm	-1.00E+02	nm
9.97E+00	μm	0.2035	μm	-1.01E+02	nm
1.02E+01	μm	0.2035	μm	-1.01E+02	nm
1.05E+01	μm	0.2035	μm	-1.01E+02	nm
1.08E+01	μm	0.2035	μm	-1.01E+02	nm
1.10E+01	μm	0.2035	μm	-1.01E+02	nm
1.13E+01	μm	0.2035	μm	-1.01E+02	nm
1.15E+01	μm	0.2035	μm	-1.01E+02	nm
1.18E+01	μm	0.2035	μm	-1.01E+02	nm
1.21E+01	μm	0.2035	μm	-1.02E+02	nm
1.23E+01	μm	0.2035	μm	-1.02E+02	nm
1.26E+01	μm	0.2035	μm	-1.02E+02	nm
1.29E+01	μm	0.2035	μm	-1.02E+02	nm
1.31E+01	μm	0.2035	μm	-1.02E+02	nm
1.34E+01	μm	0.2035	μm	-1.02E+02	nm
1.36E+01	μm	0.2035	μm	-1.03E+02	nm
1.39E+01	μm	0.2035	μm	-1.03E+02	nm
1.42E+01	μm	0.2035	μm	-1.03E+02	nm
1.44E+01	μm	0.2035	μm	-1.04E+02	nm
1.47E+01	μm	0.2035	μm	-6.92E+01	nm
1.50E+01	μm	0.2035	μm	2.47E+00	nm
1.52E+01	μm	0.2035	μm	-1.63E+00	nm
1.55E+01	μm	0.2035	μm	-1.55E+00	nm
1.57E+01	μm	0.2035	μm	-1.63E+00	nm
1.60E+01	μm	0.2035	μm	-1.72E+00	nm
1.63E+01	μm	0.2035	μm	-1.18E+00	nm
1.65E+01	μm	0.2035	μm	-2.96E-02	nm
1.68E+01	μm	0.2035	μm	1.12E+00	nm
1.71E+01	μm	0.2035	μm	1.65E+00	nm
1.73E+01	μm	0.2035	μm	-5.96E-01	nm
1.76E+01	μm	0.2035	μm	-9.92E-01	nm
1.78E+01	μm	0.2035	μm	-7.71E-01	nm
1.81E+01	μm	0.2035	μm	3.77E-01	nm
1.84E+01	μm	0.2035	μm	-1.10E+00	nm
1.86E+01	μm	0.2035	μm	-1.04E+00	nm
1.89E+01	μm	0.2035	μm	-1.13E+00	nm
1.92E+01	μm	0.2035	μm	-1.07E+00	nm
1.94E+01	μm	0.2035	μm	-3.83E-01	nm
1.97E+01	μm	0.2035	μm	2.92E-01	nm
1.99E+01	μm	0.2035	μm	-1.03E+00	nm
2.02E+01	μm	0.2035	μm	-9.75E-01	nm
2.05E+01	μm	0.2035	μm	-9.16E-01	nm
2.07E+01	μm	0.2035	μm	-8.53E-01	nm
2.10E+01	μm	0.2035	μm	-7.94E-01	nm
2.13E+01	μm	0.2035	μm	4.97E-01	nm
2.15E+01	μm	0.2035	μm	-3.71E-01	nm
2.18E+01	μm	0.2035	μm	-3.12E-01	nm
2.20E+01	μm	0.2035	μm	-5.68E-01	nm
2.23E+01	μm	0.2035	μm	-3.55E-01	nm
2.26E+01	μm	0.2035	μm	-2.99E-01	nm
2.28E+01	μm	0.2035	μm	6.77E-01	nm
2.31E+01	μm	0.2035	μm	-3.74E-02	nm
2.34E+01	μm	0.2035	μm	-2.93E-01	nm
2.36E+01	μm	0.2035	μm	-8.73E-02	nm
2.39E+01	μm	0.2035	μm	1.51E+00	nm
2.41E+01	μm	0.2035	μm	6.36E-01	nm
2.44E+01	μm	0.2035	μm	2.38E+00	nm
2.47E+01	μm	0.2035	μm	7.36E-01	nm
2.49E+01	μm	0.2035	μm	7.88E-01	nm
2.52E+01	μm	0.2035	μm	8.36E-01	nm
2.55E+01	μm	0.2035	μm	8.85E-01	nm
2.57E+01	μm	0.2035	μm	1.71E+00	nm
2.60E+01	μm	0.2035	μm	1.91E+00	nm
2.62E+01	μm	0.2035	μm	1.96E+00	nm
2.65E+01	μm	0.2035	μm	4.79E+00	nm
2.68E+01	μm	0.2035	μm	-1.34E+00	nm
2.70E+01	μm	0.2035	μm	-9.88E+01	nm
2.73E+01	μm	0.2035	μm	-9.99E+01	nm
2.76E+01	μm	0.2035	μm	-1.00E+02	nm
2.78E+01	μm	0.2035	μm	-1.00E+02	nm
2.81E+01	μm	0.2035	μm	-1.01E+02	nm
2.83E+01	μm	0.2035	μm	-1.00E+02	nm
2.86E+01	μm	0.2035	μm	-1.00E+02	nm
2.89E+01	μm	0.2035	μm	-1.00E+02	nm
2.91E+01	μm	0.2035	μm	-1.01E+02	nm
2.94E+01	μm	0.2035	μm	-1.00E+02	nm
2.97E+01	μm	0.2035	μm	-1.01E+02	nm
2.99E+01	μm	0.2035	μm	-1.01E+02	nm
3.02E+01	μm	0.2035	μm	-1.01E+02	nm
3.04E+01	μm	0.2035	μm	-1.01E+02	nm
3.07E+01	μm	0.2035	μm	-1.01E+02	nm
3.10E+01	μm	0.2035	μm	-1.01E+02	nm
3.12E+01	μm	0.2035	μm	-1.02E+02	nm
3.15E+01	μm	0.2035	μm	-1.02E+02	nm
3.18E+01	μm	0.2035	μm	-1.02E+02	nm
3.20E+01	μm	0.2035	μm	-1.02E+02	nm
3.23E+01	μm	0.2035	μm	-1.03E+02	nm
3.25E+01	μm	0.2035	μm	-1.04E+02	nm
3.28E+01	μm	0.2035	μm	-4.92E+01	nm
3.31E+01	μm	0.2035	μm	3.06E+00	nm
3.33E+01	μm	0.2035	μm	-9.15E-01	nm
3.36E+01	μm	0.2035	μm	-1.03E+00	nm
3.39E+01	μm	0.2035	μm	-6.88E-01	nm
3.41E+01	μm	0.2035	μm	-1.86E-01	nm
3.44E+01	μm	0.2035	μm	-9.23E-01	nm
3.46E+01	μm	0.2035	μm	-4.21E-01	nm
3.49E+01	μm	0.2035	μm	7.75E-02	nm
3.52E+01	μm	0.2035	μm	-1.97E-01	nm
3.54E+01	μm	0.2035	μm	-3.61E-03	nm
3.57E+01	μm	0.2035	μm	1.73E+00	nm
3.60E+01	μm	0.2035	μm	-5.54E-01	nm
3.62E+01	μm	0.2035	μm	-8.29E-01	nm
3.65E+01	μm	0.2035	μm	-6.38E-01	nm
3.67E+01	μm	0.2035	μm	-2.94E-01	nm
3.70E+01	μm	0.2035	μm	3.58E-01	nm
3.73E+01	μm	0.2035	μm	-5.33E-01	nm
3.75E+01	μm	0.2035	μm	5.77E-01	nm
3.78E+01	μm	0.2035	μm	-6.22E-01	nm
3.80E+01	μm	0.2035	μm	-5.86E-01	nm
3.83E+01	μm	0.2035	μm	-7.08E-01	nm
3.86E+01	μm	0.2035	μm	5.60E-01	nm
3.88E+01	μm	0.2035	μm	-3.32E-01	nm
3.91E+01	μm	0.2035	μm	-4.53E-01	nm
3.94E+01	μm	0.2035	μm	-2.67E-01	nm
3.96E+01	μm	0.2035	μm	-3.89E-01	nm
3.99E+01	μm	0.2035	μm	2.60E-01	nm
4.01E+01	μm	0.2035	μm	-1.70E-01	nm
4.04E+01	μm	0.2035	μm	-2.92E-01	nm
4.07E+01	μm	0.2035	μm	5.13E-02	nm
4.09E+01	μm	0.2035	μm	1.01E+00	nm
4.12E+01	μm	0.2035	μm	5.77E-01	nm
4.15E+01	μm	0.2035	μm	1.38E+00	nm
4.17E+01	μm	0.2035	μm	4.87E-01	nm
4.20E+01	μm	0.2035	μm	8.27E-01	nm
4.22E+01	μm	0.2035	μm	8.59E-01	nm
4.25E+01	μm	0.2035	μm	1.20E+00	nm
4.28E+01	μm	0.2035	μm	9.25E-01	nm
4.30E+01	μm	0.2035	μm	6.46E-01	nm
4.33E+01	μm	0.2035	μm	3.00E+00	nm
4.36E+01	μm	0.2035	μm	1.33E+00	nm
4.38E+01	μm	0.2035	μm	2.60E+00	nm
4.41E+01	μm	0.2035	μm	1.86E+00	nm
4.43E+01	μm	0.2035	μm	2.20E+00	nm
4.46E+01	μm	0.2035	μm	2.69E+00	nm
4.49E+01	μm	0.2035	μm	-3.15E+00	nm
4.51E+01	μm	0.2035	μm	-9.36E+01	nm
4.54E+01	μm	0.2035	μm	-9.99E+01	nm
4.57E+01	μm	0.2035	μm	-1.00E+02	nm
4.59E+01	μm	0.2035	μm	-9.95E+01	nm
4.62E+01	μm	0.2035	μm	-9.91E+01	nm
4.64E+01	μm	0.2035	μm	-1.00E+02	nm
4.67E+01	μm	0.2035	μm	-1.00E+02	nm
4.70E+01	μm	0.2035	μm	-1.00E+02	nm
4.72E+01	μm	0.2035	μm	-1.00E+02	nm
4.75E+01	μm	0.2035	μm	-1.01E+02	nm
4.78E+01	μm	0.2035	μm	-1.01E+02	nm
4.80E+01	μm	0.2035	μm	-1.01E+02	nm
4.83E+01	μm	0.2035	μm	-1.01E+02	nm
4.85E+01	μm	0.2035	μm	-1.01E+02	nm
4.88E+01	μm	0.2035	μm	-1.02E+02	nm
4.91E+01	μm	0.2035	μm	-1.02E+02	nm
4.93E+01	μm	0.2035	μm	-1.02E+02	nm
4.96E+01	μm	0.2035	μm	-1.02E+02	nm
4.99E+01	μm	0.2035	μm	-1.03E+02	nm
5.01E+01	μm	0.2035	μm	-1.03E+02	nm
5.04E+01	μm	0.2035	μm	-1.03E+02	nm
5.06E+01	μm	0.2035	μm	-1.05E+02	nm
5.09E+01	μm	0.2035	μm	-1.41E+01	nm
5.12E+01	μm	0.2035	μm	5.22E+00	nm
5.14E+01	μm	0.2035	μm	-9.29E-01	nm
5.17E+01	μm	0.2035	μm	-1.05E+00	nm
5.20E+01	μm	0.2035	μm	-8.59E-01	nm
5.22E+01	μm	0.2035	μm	-3.61E-01	nm
5.25E+01	μm	0.2035	μm	-1.25E+00	nm
5.27E+01	μm	0.2035	μm	-1.34E-01	nm
5.30E+01	μm	0.2035	μm	-8.71E-01	nm
5.33E+01	μm	0.2035	μm	-1.15E+00	nm
5.35E+01	μm	0.2035	μm	4.37E-01	nm
5.38E+01	μm	0.2035	μm	-7.62E-01	nm
5.41E+01	μm	0.2035	μm	-5.68E-01	nm
5.43E+01	μm	0.2035	μm	-8.43E-01	nm
5.46E+01	μm	0.2035	μm	-9.61E-01	nm
5.48E+01	μm	0.2035	μm	-3.02E-01	nm
5.51E+01	μm	0.2035	μm	-4.20E-01	nm
5.54E+01	μm	0.2035	μm	-3.81E-01	nm
5.56E+01	μm	0.2035	μm	-6.49E-01	nm
5.59E+01	μm	0.2035	μm	-9.22E-01	nm
5.62E+01	μm	0.2035	μm	-5.71E-01	nm
5.64E+01	μm	0.2035	μm	5.46E-01	nm
5.67E+01	μm	0.2035	μm	-3.35E-01	nm
5.69E+01	μm	0.2035	μm	-9.16E-01	nm
5.72E+01	μm	0.2035	μm	-8.73E-01	nm
5.75E+01	μm	0.2035	μm	-6.80E-01	nm
5.77E+01	μm	0.2035	μm	2.86E-01	nm
5.80E+01	μm	0.2035	μm	2.65E+00	nm
5.83E+01	μm	0.2035	μm	-7.08E-01	nm
5.85E+01	μm	0.2035	μm	-3.58E-01	nm
5.88E+01	μm	0.2035	μm	1.85E+00	nm
5.90E+01	μm	0.2035	μm	1.58E+00	nm
5.93E+01	μm	0.2035	μm	7.95E-02	nm
5.96E+01	μm	0.2035	μm	-1.80E-01	nm
5.96E+01	μm	0.2035	μm	-1.80E-01	nm
5.96E+01	μm	0.2035	μm	-1.80E-01	nm
5.96E+01	μm	0.2035	μm	-1.80E-01	nm
5.96E+01	μm	0.2035	μm	-1.80E-01	nm
5.96E+01	μm	0.2035	μm	-1.80E-01	nm
5.96E+01	μm	0.2035	μm	-1.80E-01	nm
5.96E+01	μm	0.2035	μm	-1.80E-01	nm
5.96E+01	μm	0.2035	μm	-1.80E-01	nm
5.96E+01	μm	0.2035	μm	-1.80E-01	nm
5.96E+01	μm	0.2035	μm	-1.80E-01	nm
5.96E+01	μm	0.2035	μm	-1.80E-01	nm
5.96E+01	μm	0.2035	μm	-1.80E-01	nm
5.96E+01	μm	0.2035	μm	-1.80E-01	nm
5.96E+01	μm	0.2035	μm	-1.80E-01	nm
5.96E+01	μm	0.2035	μm	-1.80E-01	nm
5.96E+01	μm	0.2035	μm	-1.80E-01	nm
5.96E+01	μm	0.2035	μm	-1.80E-01	nm
5.96E+01	μm	0.2035	μm	-1.80E-01	nm
5.96E+01	μm	0.2035	μm	-1.80E-01	nm
5.96E+01	μm	0.2035	μm	-1.80E-01	nm
5.96E+01	μm	0.2035	μm	-1.80E-01	nm
5.96E+01	μm	0.2035	μm	-1.80E-01	nm
5.96E+01	μm	0.2035	μm	-1.80E-01	nm
5.96E+01	μm	0.2035	μm	-1.80E-01	nm
5.96E+01	μm	0.2035	μm	-1.80E-01	nm
5.96E+01	μm	0.2035	μm	-1.80E-01	nm
5.96E+01	μm	0.2035	μm	-1.80E-01	nm
5.96E+01	μm	0.2035	μm	-1.80E-01	nm
0.00E+00	μm	0.3052	μm	-4.45E-01	nm
2.62E-01	μm	0.3052	μm	-3.14E-01	nm
5.25E-01	μm	0.3052	μm	-4.96E-01	nm
7.87E-01	μm	0.3052	μm	2.57E+00	nm
1.05E+00	μm	0.3052	μm	-1.02E+00	nm
1.31E+00	μm	0.3052	μm	-1.23E-01	nm
1.57E+00	μm	0.3052	μm	-7.70E-01	nm
1.84E+00	μm	0.3052	μm	8.97E-01	nm
2.10E+00	μm	0.3052	μm	1.79E+00	nm
2.36E+00	μm	0.3052	μm	-4.07E-01	nm
2.62E+00	μm	0.3052	μm	-7.53E-01	nm
2.89E+00	μm	0.3052	μm	-6.33E-01	nm
3.15E+00	μm	0.3052	μm	-5.17E-01	nm
3.41E+00	μm	0.3052	μm	3.69E-01	nm
3.67E+00	μm	0.3052	μm	-4.42E-01	nm
3.94E+00	μm	0.3052	μm	-3.30E-01	nm
4.20E+00	μm	0.3052	μm	-2.17E-01	nm
4.46E+00	μm	0.3052	μm	-2.59E-01	nm
4.72E+00	μm	0.3052	μm	-1.50E-01	nm
4.99E+00	μm	0.3052	μm	2.64E-01	nm
5.25E+00	μm	0.3052	μm	6.18E-02	nm
5.51E+00	μm	0.3052	μm	1.10E+00	nm
5.77E+00	μm	0.3052	μm	-1.82E-01	nm
6.04E+00	μm	0.3052	μm	-8.00E-02	nm
6.30E+00	μm	0.3052	μm	2.21E-02	nm
6.56E+00	μm	0.3052	μm	2.78E-01	nm
6.82E+00	μm	0.3052	μm	1.00E+00	nm
7.09E+00	μm	0.3052	μm	2.65E+00	nm
7.35E+00	μm	0.3052	μm	7.38E-01	nm
7.61E+00	μm	0.3052	μm	1.76E+00	nm
7.87E+00	μm	0.3052	μm	2.64E+00	nm
8.13E+00	μm	0.3052	μm	1.65E+00	nm
8.40E+00	μm	0.3052	μm	2.21E+00	nm
8.66E+00	μm	0.3052	μm	-2.79E+00	nm
8.92E+00	μm	0.3052	μm	-9.75E+01	nm
9.18E+00	μm	0.3052	μm	-1.00E+02	nm
9.45E+00	μm	0.3052	μm	-1.01E+02	nm
9.71E+00	μm	0.3052	μm	-1.00E+02	nm
9.97E+00	μm	0.3052	μm	-1.01E+02	nm
1.02E+01	μm	0.3052	μm	-1.01E+02	nm
1.05E+01	μm	0.3052	μm	-1.01E+02	nm
1.08E+01	μm	0.3052	μm	-1.01E+02	nm
1.10E+01	μm	0.3052	μm	-1.01E+02	nm
1.13E+01	μm	0.3052	μm	-1.01E+02	nm
1.15E+01	μm	0.3052	μm	-1.01E+02	nm
1.18E+01	μm	0.3052	μm	-1.01E+02	nm
1.21E+01	μm	0.3052	μm	-1.02E+02	nm
1.23E+01	μm	0.3052	μm	-1.02E+02	nm
1.26E+01	μm	0.3052	μm	-1.02E+02	nm
1.29E+01	μm	0.3052	μm	-1.02E+02	nm
1.31E+01	μm	0.3052	μm	-1.02E+02	nm
1.34E+01	μm	0.3052	μm	-1.02E+02	nm
1.36E+01	μm	0.3052	μm	-1.03E+02	nm
1.39E+01	μm	0.3052	μm	-1.03E+02	nm
1.42E+01	μm	0.3052	μm	-1.03E+02	nm
1.44E+01	μm	0.3052	μm	-1.04E+02	nm
1.47E+01	μm	0.3052	μm	-6.92E+01	nm
1.50E+01	μm	0.3052	μm	2.47E+00	nm
1.52E+01	μm	0.3052	μm	-1.63E+00	nm
1.55E+01	μm	0.3052	μm	-1.55E+00	nm
1.57E+01	μm	0.3052	μm	-1.63E+00	nm
1.60E+01	μm	0.3052	μm	-1.72E+00	nm
1.63E+01	μm	0.3052	μm	-1.18E+00	nm
1.65E+01	μm	0.3052	μm	-2.96E-02	nm
1.68E+01	μm	0.3052	μm	1.12E+00	nm
1.71E+01	μm	0.3052	μm	1.65E+00	nm
1.73E+01	μm	0.3052	μm	-5.96E-01	nm
1.76E+01	μm	0.3052	μm	-9.92E-01	nm
1.78E+01	μm	0.3052	μm	-7.71E-01	nm
1.81E+01	μm	0.3052	μm	3.77E-01	nm
1.84E+01	μm	0.3052	μm	-1.10E+00	nm
1.86E+01	μm	0.3052	μm	-1.04E+00	nm
1.89E+01	μm	0.3052	μm	-1.13E+00	nm
1.92E+01	μm	0.3052	μm	-1.07E+00	nm
1.94E+01	μm	0.3052	μm	-3.83E-01	nm
1.97E+01	μm	0.3052	μm	2.92E-01	nm
1.99E+01	μm	0.3052	μm	-1.03E+00	nm
2.02E+01	μm	0.3052	μm	-9.75E-01	nm
2.05E+01	μm	0.3052	μm	-9.16E-01	nm
2.07E+01	μm	0.3052	μm	-8.53E-01	nm
2.10E+01	μm	0.3052	μm	-7.94E-01	nm
2.13E+01	μm	0.3052	μm	4.97E-01	nm
2.15E+01	μm	0.3052	μm	-3.71E-01	nm
2.18E+01	μm	0.3052	μm	-3.12E-01	nm
2.20E+01	μm	0.3052	μm	-5.68E-01	nm
2.23E+01	μm	0.3052	μm	-3.55E-01	nm
2.26E+01	μm	0.3052	μm	-2.99E-01	nm
2.28E+01	μm	0.3052	μm	6.77E-01	nm
2.31E+01	μm	0.3052	μm	-3.74E-02	nm
2.34E+01	μm	0.3052	μm	-2.93E-01	nm
2.36E+01	μm	0.3052	μm	-8.73E-02	nm
2.39E+01	μm	0.3052	μm	1.51E+00	nm
2.41E+01	μm	0.3052	μm	6.36E-01	nm
2.44E+01	μm	0.3052	μm	2.38E+00	nm
2.47E+01	μm	0.3052	μm	7.36E-01	nm
2.49E+01	μm	0.3052	μm	7.88E-01	nm
2.52E+01	μm	0.3052	μm	8.36E-01	nm
2.55E+01	μm	0.3052	μm	8.85E-01	nm
2.57E+01	μm	0.3052	μm	1.71E+00	nm
2.60E+01	μm	0.3052	μm	1.91E+00	nm
2.62E+01	μm	0.3052	μm	1.96E+00	nm
2.65E+01	μm	0.3052	μm	4.79E+00	nm
2.68E+01	μm	0.3052	μm	-1.34E+00	nm
2.70E+01	μm	0.3052	μm	-9.88E+01	nm
2.73E+01	μm	0.3052	μm	-9.99E+01	nm
2.76E+01	μm	0.3052	μm	-1.00E+02	nm
2.78E+01	μm	0.3052	μm	-1.00E+02	nm
2.81E+01	μm	0.3052	μm	-1.01E+02	nm
2.83E+01	μm	0.3052	μm	-1.00E+02	nm
2.86E+01	μm	0.3052	μm	-1.00E+02	nm
2.89E+01	μm	0.3052	μm	-1.00E+02	nm
2.91E+01	μm	0.3052	μm	-1.01E+02	nm
2.94E+01	μm	0.3052	μm	-1.00E+02	nm
2.97E+01	μm	0.3052	μm	-1.01E+02	nm
2.99E+01	μm	0.3052	μm	-1.01E+02	nm
3.02E+01	μm	0.3052	μm	-1.01E+02	nm
3.04E+01	μm	0.3052	μm	-1.01E+02	nm
3.07E+01	μm	0.3052	μm	-1.01E+02	nm
3.10E+01	μm	0.3052	μm	-1.01E+02	nm
3.12E+01	μm	0.3052	μm	-1.02E+02	nm
3.15E+01	μm	0.3052	μm	-1.02E+02	nm
3.18E+01	μm	0.3052	μm	-1.02E+02	nm
3.20E+01	μm	0.3052	μm	-1.02E+02	nm
3.23E+01	μm	0.3052	μm	-1.03E+02	nm
3.25E+01	μm	0.3052	μm	-1.04E+02	nm
3.28E+01	μm	0.3052	μm	-4.92E+01	nm
3.31E+01	μm	0.3052	μm	3.06E+00	nm
3.33E+01	μm	0.3052	μm	-9.15E-01	nm
3.36E+01	μm	0.3052	μm	-1.03E+00	nm
3.39E+01	μm	0.3052	μm	-6.88E-01	nm
3.41E+01	μm	0.3052	μm	-1.86E-01	nm
3.44E+01	μm	0.3052	μm	-9.23E-01	nm
3.46E+01	μm	0.3052	μm	-4.21E-01	nm
3.49E+01	μm	0.3052	μm	7.75E-02	nm
3.52E+01	μm	0.3052	μm	-1.97E-01	nm
3.54E+01	μm	0.3052	μm	-3.61E-03	nm
3.57E+01	μm	0.3052	μm	1.73E+00	nm
3.60E+01	μm	0.3052	μm	-5.54E-01	nm
3.62E+01	μm	0.3052	μm	-8.29E-01	nm
3.65E+01	μm	0.3052	μm	-6.38E-01	nm
3.67E+01	μm	0.3052	μm	-2.94E-01	nm
3.70E+01	μm	0.3052	μm	3.58E-01	nm
3.73E+01	μm	0.3052	μm	-5.33E-01	nm
3.75E+01	μm	0.3052	μm	5.77E-01	nm
3.78E+01	μm	0.3052	μm	-6.22E-01	nm
3.80E+01	μm	0.3052	μm	-5.86E-01	nm
3.83E+01	μm	0.3052	μm	-7.08E-01	nm
3.86E+01	μm	0.3052	μm	5.60E-01	nm
3.88E+01	μm	0.3052	μm	-3.32E-01	nm
3.91E+01	μm	0.3052	μm	-4.53E-01	nm
3.94E+01	μm	0.3052	μm	-2.67E-01	nm
3.96E+01	μm	0.3052	μm	-3.89E-01	nm
3.99E+01	μm	0.3052	μm	2.60E-01	nm
4.01E+01	μm	0.3052	μm	-1.70E-01	nm
4.04E+01	μm	0.3052	μm	-2.92E-01	nm
4.07E+01	μm	0.3052	μm	5.13E-02	nm
4.09E+01	μm	0.3052	μm	1.01E+00	nm
4.12E+01	μm	0.3052	μm	5.77E-01	nm
4.15E+01	μm	0.3052	μm	1.38E+00	nm
4.17E+01	μm	0.3052	μm	4.87E-01	nm
4.20E+01	μm	0.3052	μm	8.27E-01	nm
4.22E+01	μm	0.3052	μm	8.59E-01	nm
4.25E+01	μm	0.3052	μm	1.20E+00	nm
4.28E+01	μm	0.3052	μm	9.25E-01	nm
4.30E+01	μm	0.3052	μm	6.46E-01	nm
4.33E+01	μm	0.3052	μm	3.00E+00	nm
4.36E+01	μm	0.3052	μm	1.33E+00	nm
4.38E+01	μm	0.3052	μm	2.60E+00	nm
4.41E+01	μm	0.3052	μm	1.86E+00	nm
4.43E+01	μm	0.3052	μm	2.20E+00	nm
4.46E+01	μm	0.3052	μm	2.69E+00	nm
4.49E+01	μm	0.3052	μm	-3.15E+00	nm
4.51E+01	μm	0.3052	μm	-9.36E+01	nm
4.54E+01	μm	0.3052	μm	-9.99E+01	nm
4.57E+01	μm	0.3052	μm	-1.00E+02	nm
4.59E+01	μm	0.3052	μm	-9.95E+01	nm
4.62E+01	μm	0.3052	μm	-9.91E+01	nm
4.64E+01	μm	0.3052	μm	-1.00E+02	nm
4.67E+01	μm	0.3052	μm	-1.00E+02	nm
4.70E+01	μm	0.3052	μm	-1.00E+02	nm
4.72E+01	μm	0.3052	μm	-1.00E+02	nm
4.75E+01	μm	0.3052	μm	-1.01E+02	nm
4.78E+01	μm	0.3052	μm	-1.01E+02	nm
4.80E+01	μm	0.3052	μm	-1.01E+02	nm
4.83E+01	μm	0.3052	μm	-1.01E+02	nm
4.85E+01	μm	0.3052	μm	-1.01E+02	nm
4.88E+01	μm	0.3052	μm	-1.02E+02	nm
4.91E+01	μm	0.3052	μm	-1.02E+02	nm
4.93E+01	μm	0.3052	μm	-1.02E+02	nm
4.96E+01	μm	0.3052	μm	-1.02E+02	nm
4.99E+01	μm	0.3052	μm	-1.03E+02	nm
5.01E+01	μm	0.3052	μm	-1.03E+02	nm
5.04E+01	μm	0.3052	μm	-1.03E+02	nm
5.06E+01	μm	0.3052	μm	-1.05E+02	nm
5.09E+01	μm	0.3052	μm	-1.41E+01	nm
5.12E+01	μm	0.3052	μm	5.22E+00	nm
5.14E+01	μm	0.3052	μm	-9.29E-01	nm
5.17E+01	μm	0.3052	μm	-1.05E+00	nm
5.20E+01	μm	0.3052	μm	-8.59E-01	nm
5.22E+01	μm	0.3052	μm	-3.61E-01	nm
5.25E+01	μm	0.3052	μm	-1.25E+00	nm
5.27E+01	μm	0.3052	μm	-1.34E-01	nm
5.30E+01	μm	0.3052	μm	-8.71E-01	nm
5.33E+01	μm	0.3052	μm	-1.15E+00	nm
5.35E+01	μm	0.3052	μm	4.37E-01	nm
5.38E+01	μm	0.3052	μm	-7.62E-01	nm
5.41E+01	μm	0.3052	μm	-5.68E-01	nm
5.43E+01	μm	0.3052	μm	-8.43E-01	nm
5.46E+01	μm	0.3052	μm	-9.61E-01	nm
5.48E+01	μm	0.3052	μm	-3.02E-01	nm
5.51E+01	μm	0.3052	μm	-4.20E-01	nm
5.54E+01	μm	0.3052	μm	-3.81E-01	nm
5.56E+01	μm	0.3052	μm	-6.49E-01	nm
5.59E+01	μm	0.3052	μm	-9.22E-01	nm
5.62E+01	μm	0.3052	μm	-5.71E-01	nm
5.64E+01	μm	0.3052	μm	5.46E-01	nm
5.67E+01	μm	0.3052	μm	-3.35E-01	nm
5.69E+01	μm	0.3052	μm	-9.16E-01	nm
5.72E+01	μm	0.3052	μm	-8.73E-01	nm
5.75E+01	μm	0.3052	μm	-6.80E-01	nm
5.77E+01	μm	0.3052	μm	2.86E-01	nm
5.80E+01	μm	0.3052	μm	2.65E+00	nm
5.83E+01	μm	0.3052	μm	-7.08E-01	nm
5.85E+01	μm	0.3052	μm	-3.58E-01	nm
5.88E+01	μm	0.3052	μm	1.85E+00	nm
5.90E+01	μm	0.3052	μm	1.58E+00	nm
5.93E+01	μm	0.3052	μm	7.95E-02	nm
5.96E+01	μm	0.3052	μm	-1.80E-01	nm
5.96E+01	μm	0.3052	μm	-1.80E-01	nm
5.96E+01	μm	0.3052	μm	-1.80E-01	nm
5.96E+01	μm	0.3052	μm	-1.80E-01	nm
5.96E+01	μm	0.3052	μm	-1.80E-01	nm
